Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
92.55893321514029,1084099.08622932,4.009973852856691,6.00945741930078,337.31061026793725,11608.06331595034,336.79578856476826,0.02840765158542411,84.2074129942901,168.34728707309654,7230.651562736031,0.06878307393455203,1930.0803628642655,2842.1162831811603,13623.528897055312,102.66879542849784,120013.2373143409,331771.1690605082,1002252.0580271966,304.0835417935301,1023284.3018752971,338765.14341171255,573422.2075739221,1002083.4370631311,1749.6085813472494,85894.16180326387,16843.03414403108,27117.437919961973,64580.36422409678,1591.8173037492497,7.433890486036247e-05,0.0,2.3603164712324244e-07,0.0,72.21110111050055,199.20560236972824,88.07325053676303,14.652708806320446,0.02747988494047237,7230.723232561834,1083.3870969959114,2234.7996805230373,5000452.4100496685,2.587496931588545e-05,7.433890486036247e-05,4.1674337695197496e-07,0.9989961537167904,0.000382692123859961,0.00014715835599236906,2.3603164712324244e-07,4.2411936592457626e-07,0.9995401587194811,1191.7309590866807,84.2074129942901,1930.0803628642655,72.21110111050055,0.0,0.0,0.0,0.0,0.0,0.0,4.009973852856691,337.31061026793725,6.00945741930078,11608.064284484075,29169.835808991833,238.09303604852335,1.006590892394352,24.814344638954307,95.18203482975926,63.75150966667932,212.19747251779924,59.975889094333795,4797.117245022514,215.69660734388057,4960.292072375483,4579.41092349661,DoS Hulk
80.0,3002903.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999033269,1501451.5,710739.1887,2004020.0,998883.0,3002903.0,1501451.5,710739.1887,2004020.0,998883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.999033269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29200.0,-1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS slowloris
80.0,8835351.0,4.0,4.0,602.0,364.0,602.0,0.0,150.5,301.0,364.0,0.0,91.0,182.0,109.3335171,0.905453558,1262193.0,2180732.476,5004615.0,44.0,3830736.0,1276912.0,2207691.455,3826134.0,902.0,8835253.0,2945084.333,2615105.412,5005229.0,3042.0,0.0,0.0,0.0,0.0,136.0,136.0,0.452726779,0.452726779,0.0,602.0,107.3333333,221.137966,48902.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,120.75,150.5,91.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,602.0,4.0,364.0,29200.0,236.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack � Brute Force
883.7717257689914,78277913.70617647,7.375826582828227,6.60527483524991,317.6415571479824,12431.052220821768,284.6929681451689,1.818089701467173,42.97130663456636,106.3685417069284,5320.400015106025,4.402116731811402,1777.6432233129913,2001.1393852317276,159743.28535087258,5973.9846426698105,6521394.218957818,22394799.85483128,77470500.15124059,13965.784174786158,78128976.03251903,13027646.080385856,31579827.37820727,77459708.4095404,99704.66170622561,1041883.0304089014,186885.52021799178,151632.3452946926,467732.6853421987,96392.60743995356,0.004757689911063277,0.0,1.5106025415887765e-05,0.0,-4370.18952892804,149.1585516626069,5397.980111922073,579.663021281218,1.7587126361902607,5324.986883957401,784.0504078270873,1534.1610671493784,2546939.483441299,0.0016559980362166962,0.004757689911063277,2.6671576124926834e-05,0.02325383787458223,0.9369922959270379,0.009418134783511776,1.5106025415887765e-05,2.7143639419173328e-05,0.05807015804679093,844.9027276663148,42.97130663456636,1777.643223312992,-4370.18952892804,0.0,0.0,0.0,0.0,0.0,0.0,7.375826582828227,317.6415571479824,6.60527483524991,12431.114206980872,853.5292754772562,432.95430710549675,1.421817113238543,-427.8819431069319,6096.212729104694,4080.0966186675437,13585.200741139375,3843.0194020374265,77413265.50368145,13804.582870008584,77423708.69263203,77399332.29910378,DoS Hulk
180.4714657211243,34310030.49452206,6.057915822853528,7.064721854406239,371.13488214349786,11699.506527602722,349.21318351814614,0.2272612126833975,61.408132079320794,140.92562908852227,5733.050001888253,0.5502645914764274,1640.0910051688113,2097.669477419591,20294.215105848525,747.1025307897806,2858948.5511369146,9835609.192688284,34069281.26890507,1746.5980218482764,34140184.50406488,6830472.359423232,15243884.672275908,34067932.30119255,12463.957713278249,34329396.91630112,5717312.989385061,13856630.493746728,34061320.79191778,12096.93217999424,0.0005947112388829119,0.0,1.8882531769859779e-06,0.0,-410.5299411160072,225.29481895782584,674.9097604335586,72.65008167290723,0.21983907952378343,5733.623360494675,846.7912340157296,1648.4878118936724,2743539.2447910993,0.989269499754527,0.0005947112388829119,3.333947015615867e-06,0.0029067297343227895,0.00306153699087975,0.0011772668479389766,1.8882531769859779e-06,3.392954927396679e-06,0.9963212697558489,911.9966150315705,61.408132079320794,1640.0910051688115,-410.5299411160072,0.0,0.0,0.0,0.0,0.0,0.0,6.057915822853528,371.13488214349786,7.064721854406239,11699.51427587261,78.06147193465732,259.7442883881872,3.0308521391548178,-37.353992888366705,10662.96096613809,510.0120773334449,11599.084467642428,10381.31180025468,34062126.93796018,1725.5728587510796,34063432.336579,34060385.287387975,DoS Hulk
883.7717257689914,90793604.93117648,7.375826582828227,6.60527483524991,331.3290571479824,12431.052220821768,298.3804681451689,1.818089701467173,44.92666377481636,111.5419304356784,4009.1375151060256,4.402116731811402,1777.6432233129913,2002.4717447317278,159725.58835352134,5973.965139911335,7564368.487707818,26044799.85483128,90154250.15124059,13965.784174786158,90812726.03251903,15126396.080385856,36781077.378207274,90143458.4095404,99704.66170622561,866033.3304089014,151715.58021799178,79250.71423306761,303386.8728421987,96394.43243995357,0.004757689911063277,0.0,1.5106025415887765e-05,0.0,-4370.18952892804,149.1585516626069,5397.96961043681,579.6540200080055,1.7587126361902607,4013.724383957401,785.0280864245873,1534.4851844118784,2548021.041403799,0.0016559980362166962,0.004757689911063277,2.6671576124926834e-05,0.02325383787458223,0.9369922959270379,0.009418134783511776,1.5106025415887765e-05,2.7143639419173328e-05,0.05807015804679093,845.9556123238149,44.92666377481636,1777.643223312992,-4370.18952892804,0.0,0.0,0.0,0.0,0.0,0.0,7.375826582828227,331.3290571479824,6.60527483524991,12431.114206980872,853.5292754772562,432.95430710549675,1.421817113238543,-427.8819431069319,7015.100229104693,4080.0966186675437,14504.088241139376,4761.906902037426,90097015.50368145,13804.582870008584,90107458.69263203,90083082.29910378,DoS Hulk
53.0,46912.0,2.0,2.0,90.0,354.0,45.0,45.0,45.0,0.0,177.0,177.0,177.0,0.0,9464.529332,85.26603001,15637.33333,27078.59366,46905.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,40.0,42.63301501,42.63301501,45.0,177.0,97.8,72.29937759,5227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,122.25,45.0,177.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,2.0,354.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
49235.0,4.0,3.0,0.0,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4500000.0,750000.0,2.0,1.414213562,3.0,1.0,4.0,2.0,1.414213562,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,750000.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,389.0,-1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,192.0,2.0,2.0,102.0,158.0,51.0,51.0,51.0,0.0,79.0,79.0,79.0,0.0,1354166.667,20833.33333,64.0,27.71281292,96.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,10416.66667,10416.66667,51.0,79.0,62.2,15.33623161,235.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.75,51.0,79.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,158.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
53.0,188.0,2.0,2.0,70.0,166.0,35.0,35.0,35.0,0.0,83.0,83.0,83.0,0.0,1255319.149,21276.59574,62.66666667,101.6136474,180.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,10638.29787,10638.29787,35.0,83.0,54.2,26.29068276,691.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.75,35.0,83.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,2.0,166.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
