Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6005417,4,2,12,0,6,0,3.0,3.4641016151,0,0,0.0,0.0,1.9981959621,0.999097981,1201083.4,2153437.91316334,4976181,41,6005417,2001805.66666667,2621125.30036249,4976181,29730,999557,999557.0,0.0,999557,999557,0,0,0,0,104,64,0.6660653207,0.3330326603,0,6,1.7142857143,2.9277002188,8.5714285714,0,0,0,1,0,0,0,0,0,2.0,3.0,0.0,104,0,0,0,0,0,0,4,12,2,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60587,4,2,156,190,39,39,39.0,0.0,95,95,95.0,0.0,5710.7960453563,99.0311452952,12117.4,16547.652214136,30406,4,30501,10167.0,17527.4881543249,30406,47,4,4.0,0.0,4,4,0,0,0,0,80,40,66.0207635301,33.0103817651,39,95,55.0,27.3252020426,746.6666666667,0,0,0,0,0,0,0,0,0,64.1666666667,39.0,95.0,80,0,0,0,0,0,0,4,156,2,190,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,85411211,8,5,362,11595,350,0,45.25,123.1674238,7240,0,2319.0,3331.638186,139.9933318,0.152204843,7117600.917,24600000.0,85200000,3,85200000,12200000.0,32200000.0,85200000,3,181501,45375.25,81477.41744,167207,160,0,0,0,0,240,168,0.093664519,0.058540324,0,7240,854.0714286,2169.695068,4707576.687,0,0,0,0,1,0,0,0,0,919.7692308,45.25,2319.0,240,0,0,0,0,0,0,8,362,5,11595,251,235,3,20,976.0,0.0,976,976,85200000.0,0.0,85200000,85200000,DoS Hulk
53,91494,4,2,144,190,36,36,36.0,0.0,95,95,95.0,0.0,3650.512602,65.57807069,18298.8,25176.22966,49764,2,49815,16605.0,28716.54598,49764,2,48,48.0,0.0,48,48,0,0,0,0,80,40,43.7187138,21.8593569,36,95,52.85714286,28.78905215,828.8095238,0,0,0,0,0,0,0,0,0,61.66666667,36.0,95.0,80,0,0,0,0,0,0,4,144,2,190,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,68037272,16,14,667,5714,341,0,41.6875,97.42738749,2920,0,408.1428571,829.0186838,93.78682908,0.440934786,2346112.828,4049792.915,10100000,25,68000000,4535818.133,4782507.239,10100000,2200,67700000,5208362.538,4793583.652,10100000,312,0,0,0,0,344,352,0.235165219,0.205769567,0,2920,205.8387097,580.9014315,337446.4731,0,0,0,1,0,0,0,0,0,212.7,41.6875,408.1428571,344,0,0,0,0,0,0,16,667,14,5714,8192,79,8,20,1330394.167,3134830.928,7729341,50504,9962842.5,164523.6205,10100000,9708975,BENIGN
443,117701124,6,4,156,144,46,6,26.0,21.9089023,46,6,36.0,20.0,2.548828676,0.084960956,13100000.0,25900000.0,59100000,4,118000000,23500000.0,32100000.0,59100000,86783,118000000,39200000.0,34000000.0,59200000,4,1,0,0,0,120,80,0.050976574,0.033984382,6,46,31.45454545,20.18099916,407.2727273,0,1,0,0,1,0,0,0,0,34.6,26.0,36.0,120,0,0,0,0,0,0,6,156,4,144,253,481,5,20,87178.5,487.1965722,87523,86834,58700000.0,519996.4274,59100000,58400000,BENIGN
53,30388,1,1,62,144,62,62,62.0,0.0,144,144,144.0,0.0,6778.9917072529,65.8154534685,30388.0,0.0,30388,30388,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.9077267342,32.9077267342,62,144,89.3333333333,47.3427220735,2241.3333333333,0,0,0,0,0,0,0,0,1,134.0,62.0,144.0,32,0,0,0,0,0,0,1,62,1,144,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,24099,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,16598.1990953982,165.981990954,8033.0,13906.6359339705,24091,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,82.990995477,82.990995477,36,164,87.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,40,0,0,0,0,0,0,2,72,2,328,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,151,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,609271.5232,26490.06623,50.33333333,85.44783984,149,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,13245.03311,13245.03311,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
64114,1409,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1419.4464158978,1409.0,0.0,1409,1409,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,709.7232079489,709.7232079489,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8192,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
